First line of output
101,  2.7037,  0.141887,  2.67612,  5.2931,  
102,  1.8609,  0.141573,  1.74348,  3.69766,  
103,  1.18005,  0.141257,  1.01205,  2.38684,  
104,  0.668693,  0.140939,  0.493989,  1.37115,  
105,  0.332026,  0.14062,  0.197764,  0.657695,  
106,  0.172379,  0.140018,  0.127726,  0.249393,  
107,  0.191107,  0.139697,  0.285065,  0.148559,  
108,  0.385357,  0.139375,  0.665969,  0.350727,  
109,  0.750513,  0.139052,  1.2631,  0.849391,  
110,  1.27961,  0.13873,  2.06532,  1.63476,  
111,  1.96341,  0.138408,  3.05798,  2.69386,  
112,  2.79061,  0.138086,  4.22312,  4.01061,  
113,  3.7479,  0.137765,  5.53993,  5.566,  
114,  4.82025,  0.137446,  6.9851,  7.33822,  
115,  5.99108,  0.137129,  8.53327,  9.30285,  
116,  7.2425,  0.136814,  10.1576,  11.4331,  
117,  8.55555,  0.136501,  11.8302,  13.7,  
118,  9.91048,  0.136191,  13.5227,  16.0726,  
119,  11.287,  0.135884,  15.2067,  18.5186,  
120,  12.6647,  0.135581,  16.8544,  21.0042,  
121,  14.0231,  0.135283,  18.4391,  23.4949,  
122,  15.3419,  0.134989,  19.9354,  25.9554,  
123,  16.6017,  0.1347,  21.3199,  28.3506,  
124,  17.7838,  0.134417,  22.5714,  30.6456,  
125,  18.8706,  0.13414,  23.6713,  32.8063,  
126,  19.8459,  0.133869,  24.6039,  34.7999,  
127,  20.6951,  0.133605,  25.3563,  36.5953,  
128,  21.4053,  0.133349,  25.9187,  38.1638,  
129,  21.9657,  0.1331,  26.2848,  39.4792,  
130,  22.3676,  0.13286,  26.4512,  40.5188,  
131,  22.6046,  0.132629,  26.4177,  41.2633,  
132,  22.6725,  0.132406,  26.1873,  41.6976,  
133,  22.5697,  0.132193,  25.7658,  41.8111,  
134,  22.2972,  0.13199,  25.1617,  41.598,  
135,  21.8584,  0.131798,  24.3861,  41.0573,  
136,  21.2591,  0.131615,  23.4522,  40.1935,  
137,  20.5078,  0.131443,  22.3754,  39.0164,  
138,  19.615,  0.131283,  21.1727,  37.5411,  
139,  18.5938,  0.131133,  19.8624,  35.788,  
140,  17.4592,  0.130994,  18.4642,  33.7825,  
141,  16.2281,  0.130867,  16.9984,  31.555,  
142,  14.9189,  0.130751,  15.4858,  29.1403,  
143,  13.5518,  0.130647,  13.9477,  26.577,  
144,  12.1476,  0.130553,  12.4051,  23.9073,  
145,  10.7284,  0.130471,  10.8789,  21.176,  
146,  9.31658,  0.130399,  9.38945,  18.4299,  
147,  7.93458,  0.130338,  7.9564,  15.717,  
148,  6.6048,  0.130287,  6.59845,  13.0857,  
149,  5.34904,  0.130246,  5.33321,  10.5837,  
150,  4.18821,  0.130215,  4.17702,  8.25739,  
151,  3.14196,  0.130192,  3.14482,  6.15085,  
152,  2.22839,  0.130178,  2.25005,  4.30492,  
153,  1.46371,  0.130172,  1.5045,  2.75647,  
154,  0.86201,  0.130173,  0.918223,  1.53763,  
155,  0.434944,  0.130181,  0.499507,  0.675143,  
156,  0.191584,  0.130194,  0.254768,  0.189789,  
157,  0.138231,  0.130213,  0.188522,  0.0959568,  
158,  0.278301,  0.130237,  0.303349,  0.401318,  
159,  0.612259,  0.130264,  0.599867,  1.10664,  
160,  1.1376,  0.130294,  1.07672,  2.20577,  
161,  1.84887,  0.130327,  1.7306,  3.68569,  
162,  2.73779,  0.130361,  2.55622,  5.52678,  
163,  3.79333,  0.130396,  3.54639,  7.70321,  
164,  5.00194,  0.130431,  4.69199,  10.1834,  
165,  6.34772,  0.130466,  5.98211,  12.9306,  
166,  7.81274,  0.130499,  7.40403,  15.9037,  
167,  9.37727,  0.13053,  8.94337,  19.0579,  
168,  11.0201,  0.13056,  10.5841,  22.3457,  
169,  12.719,  0.130586,  12.3089,  25.7174,  
170,  14.4508,  0.130608,  14.0989,  29.1228,  
171,  16.1919,  0.130627,  15.9341,  32.5111,  
172,  17.9189,  0.130642,  17.7937,  35.8325,  
173,  19.6085,  0.130652,  19.6558,  39.039,  
174,  21.2379,  0.130657,  21.4982,  42.0847,  
175,  22.7854,  0.130657,  23.2983,  44.9271,  
176,  24.2305,  0.130652,  25.0334,  47.5274,  
177,  25.5543,  0.130642,  26.6809,  49.8512,  
178,  26.7395,  0.130627,  28.2189,  51.8689,  
179,  27.7709,  0.130606,  29.6262,  53.556,  
180,  28.6356,  0.130581,  30.8828,  54.8933,  
181,  29.3226,  0.13055,  31.9701,  55.8672,  
182,  29.8238,  0.130515,  32.8712,  56.4697,  
183,  30.1333,  0.130475,  33.5713,  56.6981,  
184,  30.2479,  0.13043,  34.0581,  56.5551,  
185,  30.1669,  0.130382,  34.3218,  56.0484,  
186,  29.8922,  0.130331,  34.3556,  55.1906,  
187,  29.4281,  0.130276,  34.1556,  53.9984,  
188,  28.7815,  0.130218,  33.7215,  52.4929,  
189,  27.9615,  0.130159,  33.0561,  50.6982,  
190,  26.9792,  0.130097,  32.1658,  48.6417,  
191,  25.848,  0.130034,  31.0607,  46.3533,  
192,  24.583,  0.12997,  29.7541,  43.8649,  
193,  23.2008,  0.129906,  28.2627,  41.2097,  
194,  21.7195,  0.129842,  26.6065,  38.4222,  
195,  20.1584,  0.129779,  24.8083,  35.5371,  
196,  18.5376,  0.129718,  22.8936,  32.5894,  
197,  16.8778,  0.129658,  20.89,  29.6137,  
198,  15.2001,  0.1296,  18.8271,  26.6437,  
199,  13.5258,  0.129545,  16.7358,  23.7122,  
200,  11.8759,  0.129493,  14.6479,  20.8502,  
201,  10.2707,  0.129445,  12.5952,  18.0874,  
202,  8.73008,  0.129401,  10.6096,  15.4512,  
203,  7.27272,  0.129362,  8.72182,  12.967,  
204,  5.91604,  0.129328,  6.96131,  10.6575,  
205,  4.67597,  0.129299,  5.35545,  8.54317,  
206,  3.5667,  0.129276,  3.92914,  6.64169,  
207,  2.60049,  0.129259,  2.70424,  4.96798,  
208,  1.78753,  0.129248,  1.69919,  3.53415,  
209,  1.13576,  0.129244,  0.928617,  2.34943,  
210,  0.650826,  0.129247,  0.403068,  1.42016,  
211,  0.33505,  0.128999,  0.128388,  0.747764,  
212,  0.191439,  0.129016,  0.107614,  0.337687,  
